Landmark,Score,Grade,Positive,Negative,PosRate,Count,Sample
外滩,0.63,Good,173,33,36.6%,473,Citywalk in 外滩今日落地上海 中午吃过饭后已是下午踏上了暴走之旅 日
武康路,0.67,Good,92,16,46.9%,196,在路上---上海武康路citywalk武康路于清光绪三十三年（1907年）修筑，
安福路,0.64,Good,53,8,35.8%,148,@奇妙芋泥椰椰阿 @大丸子iv 夏家三千金24h忘崽之约～～超嗨五月天演唱会！！
豫园,0.65,Good,46,6,38.0%,121,Citywalk in 外滩今日落地上海 中午吃过饭后已是下午踏上了暴走之旅 日
浦东,0.65,Good,53,14,47.3%,112,超级满足的一天！世纪花园🏞吸氧人流超多看到日落黄昏下相濡以沫的爱情看到落叶枯黄与
南京路,0.59,Average,32,9,29.1%,110,塔克西姆广场独立大街 citywalk.这个地方相当于北京王府井，上海南京路，巴
新天地,0.61,Good,31,6,29.0%,107,"【#乐游一大# | 上海小众红色 Citywalk 路线推荐~】
避开人挤人的网"
陆家嘴,0.68,Good,47,4,44.3%,106,上海秋日暴走1w步｜从24楼晨光到外滩夜景，我的神仙圣诞前奏day✨上海的秋天总
愚园路,0.62,Good,38,9,36.5%,104,"#感受上海的美丽秋色#
上海梧桐赏秋天花板🍂这9️⃣条街直接封神‼️
接下来的上"
迪士尼,0.66,Good,44,8,45.8%,96,十一月的最后一天我来到了上海这已经第四次来了每次的心境却截然不同第一次是和妈妈外
淮海中路,0.62,Good,31,6,33.3%,93,在路上---上海武康路citywalk武康路于清光绪三十三年（1907年）修筑，
北外滩,0.67,Good,38,6,43.2%,88,"#encounter#
在北外滩附近吃完饭一个人来江边溜达溜达，遇到一个游客女孩"
东方明珠,0.58,Average,27,13,34.6%,78,上海秋日暴走1w步｜从24楼晨光到外滩夜景，我的神仙圣诞前奏day✨上海的秋天总
黄浦江,0.61,Good,23,7,36.5%,63,又来上海出差了，真的很喜欢秋天的上海，很有味道，早起在城里Citywalk一下，
静安寺,0.68,Good,30,6,49.2%,61,#上海##citywalk#南京路步行街-上海历史博物馆-上海市人民政府-静安寺
徐家汇,0.69,Good,23,1,41.8%,55,"#感受上海的美丽秋色#
上海梧桐赏秋天花板🍂这9️⃣条街直接封神‼️
接下来的上"
外白渡桥,0.63,Good,16,5,39.0%,41,去年造访上海，去了大热的citywalk目的地武康大楼，路过了外白渡桥附近的真光
淮海路,0.65,Good,19,7,50.0%,38,"#感受上海的美丽秋色#
上海梧桐赏秋天花板🍂这9️⃣条街直接封神‼️
接下来的上"
巨鹿路,0.68,Good,15,2,44.1%,34,好喜欢上海秋天的梧桐区🍂😍citywalk🚶🏻‍♀️‍➡️长乐路-富民路-巨鹿路
虹口,0.78,Excellent,19,0,55.9%,34,【潮生北外滩｜从提篮桥到北外滩：在“世纪同框”里触摸城市的温度】当城市的脚步越走
城隍庙,0.63,Good,12,2,38.7%,31,#上海##citywalk#南京路步行街-上海历史博物馆-上海市人民政府-静安寺
富民路,0.85,Excellent,19,1,76.0%,25,"#感受上海的美丽秋色#
上海梧桐赏秋天花板🍂这9️⃣条街直接封神‼️
接下来的上"
人民广场,0.67,Good,12,3,50.0%,24,#微博兴趣创作计划##国内旅游##城市巡游记# 上海旅行游玩人民广场逛吃建议，看
思南公馆,0.66,Good,8,0,34.8%,23,#上海89岁自律女生高能量的一天#89岁citywalk特种兵奶奶：早上8点吃早
衡山路,0.77,Excellent,12,0,60.0%,20,十二月了，上海的秋天浓度正逐渐加深，跟着以下的citywalk路线走，既能欣赏魔
枫泾,0.95,Excellent,18,0,90.0%,20,#我守护的大美中国#【消防Citywalk，邀您漫步水乡古镇】起于南北朝，兴于唐
田子坊,0.65,Good,6,0,33.3%,18,#上海##citywalk#南京路步行街-上海历史博物馆-上海市人民政府-静安寺
陕西南路,0.66,Good,7,1,41.2%,17,吴大伟超话 @吳大偉DvWooooo Update XHS:Cap: 在自己茶
长乐路,0.56,Average,6,3,40.0%,15,好喜欢上海秋天的梧桐区🍂😍citywalk🚶🏻‍♀️‍➡️长乐路-富民路-巨鹿路
复兴中路,0.73,Excellent,7,0,46.7%,15,#上海秋日citywalk路线新鲜出炉##上海向你发出轧马路邀请# 【从黄浦复兴
甜爱路,0.77,Excellent,9,0,69.2%,13,今天做个悠闲的gai溜子～走走停停的快乐～印象中甜爱路和多伦路那些有趣又好逛的小
上生新所,0.57,Average,5,1,41.7%,12,VLOG 24｜上海｜SHANGHAI一次非常偶然的出行！蛋蛋运气爆棚抢到了周杰
龙华寺,0.53,Average,2,0,20.0%,10,"‼️上海银杏染色100%💛银杏巅峰季攻略🌟码住
‼️上海，终于等到银杏最佳观赏期"
人民公园,0.72,Excellent,6,0,66.7%,9,"#微博兴趣创作计划##旅游攻略# 成都💛五天四夜快乐逛吃攻略🍲✨（文字版
成都！"
福州路,0.74,Excellent,5,0,55.6%,9,又来上海了，我最喜欢的城市。20度是最适合citywalk的温度，从武康一路走到
汾阳路,0.79,Excellent,5,0,62.5%,8,"#感受上海的美丽秋色#
上海梧桐赏秋天花板🍂这9️⃣条街直接封神‼️
接下来的上"
浦西,0.67,Good,5,1,62.5%,8,如果说浦西的外滩是上海海派文化的源头那么浦东陆家嘴则是上海作为金融中心的名片浦西
四川北路,0.94,Excellent,7,0,87.5%,8,🍂秋日温度正好，光影与落叶斑驳交错，街头一番风味，很适合来一场citywalk。
复兴西路,0.62,Good,4,2,50.0%,8,"#上海秋天第一场citywalk#路线：武康路→安福路→衡山路→复兴西路
亮点："
永康路,0.50,Average,0,0,0.0%,7,"#上海秋天第一场citywalk#
拐进武康路时，梧桐叶刚染了三分黄，风把桂花香"
长风,0.67,Good,2,0,33.3%,6,#11月8日萧敬腾演唱会# #上海梅赛德斯奔驰文化中心# #布丁酒店# #布丁严
华山路,0.70,Good,3,1,60.0%,5,在路上---上海武康路citywalk武康路于清光绪三十三年（1907年）修筑，
天平路,0.70,Good,2,0,40.0%,5,十二月了，上海的秋天浓度正逐渐加深，跟着以下的citywalk路线走，既能欣赏魔
陕西北路,0.80,Excellent,3,0,60.0%,5,上海Citywalk｜何东旧居里的绿意🌿这座1928年由邬达克设计的传奇洋房，百
建国西路,0.70,Good,3,1,60.0%,5,上海City walk | 秋日最美马路——安亭路🏡安亭路是上海秋日最具代表性的
世纪大道,0.63,Good,2,0,40.0%,5,此次#逛街# 是去上海#世纪汇广场# ，位于世纪大道地铁站旁，地理位置也算是相当
湖南路,0.62,Good,2,1,50.0%,4,"#感受上海的美丽秋色#
上海梧桐赏秋天花板🍂这9️⃣条街直接封神‼️
接下来的上"
多伦路,1.00,Excellent,4,0,100.0%,4,今天做个悠闲的gai溜子～走走停停的快乐～印象中甜爱路和多伦路那些有趣又好逛的小
黄陂南路,0.62,Good,1,0,25.0%,4,"【#乐游一大# | 上海小众红色 Citywalk 路线推荐~】
避开人挤人的网"
七宝,0.53,Average,1,0,25.0%,4,吃陈香贵🍜=解锁上海漫游新姿势！🗺这个暑假阿贵带你来上海Citywalk！玩个三
朱家角,0.73,Excellent,2,0,66.7%,3,《day4 清晨开门那一座座桥》很喜欢每日清晨来逛古镇，人少最清静，一场雨后空气
北京东路,1.00,Excellent,3,0,100.0%,3,"久事秋季三展｜在外滩来一场艺术漫步之旅

🍁金秋11月，久事三展在外滩三馆齐发
"
威海路,0.83,Excellent,2,0,66.7%,3,#上海秋天第一场citywalk#我有一点补充，石门一路￼￼￼。石门一路沿街分布
M50,1.00,Excellent,2,0,100.0%,2,“童年并非是被封存的过去，而是一种活着的语言——一种感知世界、梦想世界，甚至挑战
共青团,0.75,Excellent,1,0,50.0%,2,【徐汇“薪火杯”双赛道淬炼育人尖兵】AI技术让红色历史“活”起来，“教育奇葩说”
东平路,0.75,Excellent,1,0,50.0%,2,梅雨季的晴天 蓝天白云水晶天今天换了 citywalk 路线果然看到不一样的风景
万航渡路,1.00,Excellent,1,0,100.0%,1,#11月8日萧敬腾演唱会# #上海梅赛德斯奔驰文化中心# #布丁酒店# #布丁严
静安别墅,1.00,Excellent,1,0,100.0%,1,写作着、朗读着、行走着 @淳子 ～ 🕺常德公寓+🚶平安大戏院+🏃‍➡️重华公寓+
冠生园,0.50,Average,0,0,0.0%,1,#爱上这座城##我的城市我记录##上海话##上海记忆##上海citywalk##
北京西路,1.00,Excellent,1,0,100.0%,1,上海秋日Citywalk路线合集🍂 漫步梧桐与秋风里宝子们！上海的秋天太适合压马
长海医院,0.50,Average,0,0,0.0%,1,🚶🚶💢#Citywalk# 走进上海体育大学、长海医院、杨浦图书馆、江湾体育馆，
铜仁路,0.00,Poor,0,1,0.0%,1,Shanghai citywalk🍂有些秋天的味道了#户外生活方式##今日份oo
山阴路,0.50,Average,0,0,0.0%,1,上海citywalk（结合地铁和打车）特种兵一日游：武康大楼→武康路→鲁迅（虹口
乌鲁木齐路,0.50,Average,0,0,0.0%,1,DAY 3️⃣ in 魔都#上海#今日#citywalk# 经典路线：武康路安福
百乐门,0.50,Average,0,0,0.0%,1,在上海逛吃逛吃时耳机里放这些歌… 瞬间穿越进老电影里了！🎬“浪奔 浪流万里涛涛江
复兴路,1.00,Excellent,1,0,100.0%,1,魔都中年大叔脱“油”季 第九天体重102kg-》 98.6kg体重依然在瓶颈期下
古美路,1.00,Excellent,1,0,100.0%,1,#寻美上海##寻美闵行# 00后出手，这条citywalk路线“有东西”！“网红
茅台路,1.00,Excellent,1,0,100.0%,1,上海女性高级西服定制的相关推荐，仅供参考： 店铺推荐 - MT567上服·久铺时
泰康路,0.50,Average,0,0,0.0%,1,【田子坊人流回来了！如何接住“泼天流量”？】最近，泰康路上的田子坊有点“忙”。从
西康路,0.50,Average,0,0,0.0%,1,#爱上这座城##上海话##上海citywalk##城市烟火气# 2上海·西康路与
南阳路,1.00,Excellent,1,0,100.0%,1,南阳路贝公馆:颜料大王贝润生的传奇住宅是旧时颜料大王贝润生为他的小儿子贝义奎精心
